40 619 
4 24 1623.829847
4 25 2064.125181
4 26 808.527411
4 27 2071.536273
4 28 1634.190195
4 29 2795.920460
4 30 511.548100
4 31 6291.329544
4 32 1944.936588
4 34 2057.526986
4 35 4201.558780
4 36 1052.754047
4 37 1245.593454
4 38 1404.683447
4 39 1693.372999
5 7 4119.111604
5 8 6269.333737
5 9 5951.294647
5 11 6831.891235
5 12 2338.052247
5 13 5804.758192
5 14 5870.774991
5 15 2668.417131
5 16 3045.007604
5 17 5347.146730
5 19 6663.548031
5 20 3142.246667
5 21 4308.088054
5 22 7316.583363
5 23 3403.006319
5 24 2259.149900
5 25 2898.527184
5 26 2531.574449
5 27 3322.767299
5 28 3583.653047
5 29 467.610453
5 30 2676.122484
5 31 6718.929131
5 33 3780.891809
5 34 1626.157258
5 35 5014.537399
5 37 2744.963321
5 38 3216.336154
5 39 1700.317803
5 40 1888.012736
6 9 1116.702872
6 10 229.320784
6 11 120.135451
6 14 1148.146156
6 16 3868.452132
6 17 1836.788214
6 18 7807.294485
6 19 342.688953
6 20 4160.956618
6 23 5024.869572
6 25 4624.699101
6 26 6035.095652
6 27 8458.674009
6 28 4875.726764
6 29 7004.297711
6 32 8287.387775
6 33 3127.451266
6 34 7454.242573
6 35 2295.270914
6 37 7515.012192
6 39 7090.788121
7 10 2653.697270
7 11 2750.962471
7 12 3967.521612
7 13 1919.899700
7 14 1900.093476
7 15 1612.271982
7 16 1149.926436
7 17 1293.724285
7 18 5048.364980
7 20 1477.672054
7 22 3219.080076
7 23 2625.291781
7 24 2656.248360
7 25 1961.586748
7 26 3396.761864
7 27 5805.317902
7 28 2548.461190
7 30 3866.230321
7 32 5620.110010
7 34 4664.293019
7 36 2997.788215
7 37 4856.373068
7 38 2627.797643
7 39 4317.554752
7 40 4732.170945
8 10 603.811379
8 11 716.279845
8 13 508.656458
8 14 399.309404
8 15 3608.911075
8 16 3228.568893
8 17 1668.021760
8 18 7336.108631
8 19 493.368262
8 20 3732.560939
8 21 2369.833482
8 23 4740.087570
8 24 4938.682518
8 25 4213.327236
8 26 5649.301942
8 27 8071.897003
8 30 6110.149183
8 31 751.930648
8 32 7890.881209
8 34 6946.862552
8 36 5234.253402
8 37 7122.547513
8 38 4785.435211
8 39 6604.617163
8 40 7019.391197
9 10 890.650868
9 11 1005.936784
9 12 5963.383928
9 13 210.945976
9 14 109.491749
9 16 2912.987725
9 19 790.394985
9 20 3460.778361
9 21 2119.592012
9 22 2040.151278
9 23 4503.522250
9 24 4656.413920
9 25 3943.665129
9 26 5381.413625
9 29 6089.815030
9 30 5845.679334
9 31 1000.091194
9 32 7616.335320
9 33 2211.142093
9 34 6648.964485
9 35 1931.985988
9 37 6850.039347
9 38 4540.449662
9 39 6311.417161
9 40 6726.401947
10 11 115.390935
10 12 6525.647730
10 13 1096.663879
10 14 927.236844
10 15 4089.984837
10 16 3683.493060
10 17 1751.096167
10 18 7669.958444
10 19 117.388972
10 20 4028.876650
10 21 2638.459120
10 22 1273.524988
10 23 4932.388437
10 26 5918.107895
10 31 216.959667
10 32 8170.086590
10 33 2947.880299
10 34 7307.183441
10 35 2211.042096
10 36 5492.353207
10 37 7398.094888
10 38 4998.613442
10 39 6948.923540
10 40 7361.604597
11 12 6607.528563
11 13 1211.620468
11 14 1042.388669
11 15 4198.297382
11 16 3789.336353
11 18 7758.144007
11 19 223.807737
11 21 2723.388257
11 23 5001.125098
11 25 4581.568383
11 26 5997.656893
11 27 8422.844600
11 28 4855.383319
11 29 6934.131581
11 30 6443.998567
11 31 204.363005
11 32 8249.985987
11 33 3051.694772
11 35 2274.735444
11 36 5570.642083
11 37 7477.771858
11 38 5070.538967
11 39 7038.888279
12 13 5887.258508
12 14 5860.395824
12 15 3289.056957
12 16 3371.959427
12 17 4834.479573
12 18 1283.851486
12 19 6500.395700
12 20 2506.402991
12 21 3889.149551
12 22 6705.533125
12 23 1816.562126
12 24 1325.155957
12 26 633.897815
12 27 1838.274886
12 28 2017.756533
12 29 1929.209854
12 32 1652.956836
12 33 3853.514066
12 34 1222.831796
12 36 1067.424376
12 37 891.185752
12 38 1670.652546
12 39 830.812576
12 40 1085.933354
13 14 233.504965
13 16 2776.390616
13 17 1594.222078
13 18 6947.988210
13 20 3393.145326
13 22 2248.381465
13 23 4471.252245
13 24 4573.030475
13 25 3877.245205
13 26 5314.506628
13 27 7725.180990
13 28 4363.218986
13 29 5955.023736
13 30 5782.093831
13 31 1210.883491
13 32 7539.622786
13 33 2094.166829
13 34 6541.775620
13 35 1971.527822
13 36 4910.141157
13 38 4499.683482
13 40 6626.385979
14 15 3211.968292
14 16 2829.386638
14 17 1422.454730
14 18 6946.805214
14 19 834.898257
14 20 3356.772482
14 23 4395.040607
14 25 3839.311089
14 26 5276.875433
14 27 7695.988266
14 28 4278.427643
14 31 1015.210987
14 32 7513.298231
14 34 6553.313799
14 35 1824.320568
14 36 4865.683298
14 37 6746.520977
14 39 6213.810678
14 40 6628.734978
15 17 2905.963849
15 19 4019.386794
15 20 1567.754318
15 21 1955.119151
15 23 2724.275039
15 24 2054.081898
15 25 1818.953882
15 27 5042.471588
15 28 2770.347782
15 30 3347.856450
15 31 4100.967263
15 32 4839.506116
15 34 3595.846952
15 35 2688.263457
15 36 2637.976249
15 37 4142.786917
15 38 2617.901913
15 39 3338.917925
15 40 3738.272939
16 17 2442.740028
16 18 4272.029446
16 20 1309.654255
16 21 1490.264130
16 22 4358.593947
16 27 5175.407264
16 28 2558.308461
16 29 3178.672186
16 30 3377.509419
16 31 3682.340358
16 32 4976.806630
16 33 750.012787
16 35 2222.243290
16 36 2595.891569
16 37 4250.487991
16 38 2465.609628
16 39 3530.403113
16 40 3940.189868
17 18 6024.199091
17 19 1754.951303
17 20 2385.609973
17 21 1041.904779
17 22 1972.985100
17 23 3188.125432
17 26 4214.287719
17 29 5374.197415
17 30 4650.369347
17 31 1632.345733
17 32 6464.151875
17 33 1723.367753
17 34 5702.804000
17 36 3782.666590
17 38 3262.676922
17 40 5729.528762
18 19 7635.202125
18 20 3647.690545
18 21 5037.046231
18 22 7933.638752
18 23 3097.765362
18 24 2417.805471
18 25 3196.272456
18 26 1905.730016
18 27 1164.764648
18 28 3300.014379
18 29 1694.797369
18 30 1616.347552
18 32 971.443553
18 33 4863.577080
18 34 543.143587
18 35 5597.640022
18 36 2328.267412
18 37 860.710033
18 38 2946.219056
18 39 741.867636
18 40 335.946887
19 20 3999.346356
19 21 2611.278539
19 22 1389.177003
19 23 4925.377398
19 25 4471.763723
19 26 5896.314152
19 27 8322.816634
19 28 4786.002810
19 30 6347.715158
19 31 319.268134
19 32 8147.271877
19 35 2213.450606
19 36 5472.454911
19 37 7375.735658
19 38 4987.457145
19 39 6911.574115
19 40 7324.893762
20 21 1391.068880
20 23 1258.291323
20 24 1229.949161
20 25 484.183153
20 26 1921.585156
20 27 4339.632030
20 29 3079.676820
20 30 2389.226852
20 31 3956.794760
20 32 4158.359110
20 33 1458.391417
20 34 3317.288184
20 35 1978.474404
20 36 1520.279906
20 37 3390.192128
20 38 1210.280712
20 39 2939.244913
20 40 3347.265662
21 22 3014.884870
21 23 2387.494669
21 24 2619.568501
21 25 1860.516791
21 26 3287.886326
21 27 5714.086772
21 29 4332.571278
21 30 3744.170402
21 31 2566.478681
21 33 884.153816
21 35 737.231423
21 36 2867.940916
21 37 4766.043186
21 39 4322.871335
21 40 4733.287696
22 23 4959.043165
22 24 5540.995592
22 25 4748.654956
22 26 6074.121253
22 27 8452.199389
22 28 4782.901232
22 29 7346.975634
22 30 6481.537743
22 31 1082.580083
22 32 8297.236268
22 33 3612.664859
22 34 7640.962304
22 35 2352.846453
22 36 5639.189920
22 38 5067.372358
22 39 7251.667771
22 40 7650.946587
23 25 905.397360
23 26 1194.172256
23 27 3493.822291
23 28 204.870100
23 30 1538.421687
23 31 4820.467719
23 32 3342.649564
23 33 2692.343589
23 34 2941.929725
23 35 2729.959222
23 36 797.777192
23 37 2583.568074
23 38 187.052110
23 39 2524.557569
23 40 2869.002411
24 25 793.610420
24 27 3160.260608
24 28 1326.950480
24 29 2062.114026
24 30 1306.737170
24 31 5185.987686
24 32 2970.545060
24 33 2528.427323
24 34 2100.366088
24 35 3192.857123
24 36 631.195323
24 37 2215.952028
24 38 970.569569
24 39 1712.964446
25 26 1437.892329
25 28 967.346196
25 29 2774.513280
25 30 1905.043702
25 31 4419.920317
25 33 1921.356452
25 34 2893.726407
25 37 2909.490548
25 38 807.070253
25 39 2503.200749
25 40 2904.903618
26 27 2426.532392
26 28 1397.817367
26 29 2196.309613
26 30 475.059627
26 31 5829.777706
26 32 2252.385525
26 33 3319.882999
26 34 1763.534034
26 36 434.968928
26 37 1480.115247
26 38 1040.617692
26 39 1347.040198
27 28 3674.941188
27 29 2858.355908
27 30 1981.848574
27 31 8253.311621
27 32 206.859419
27 33 5687.557437
27 34 1700.395852
27 35 6183.111506
27 37 949.469762
27 38 3387.327367
27 39 1767.895290
27 40 1452.168494
28 29 3358.960480
28 30 1731.629488
28 31 4671.988028
28 33 2648.057855
28 34 3146.794797
28 35 2580.964269
28 36 1002.299588
28 37 2772.667996
28 38 382.363296
28 40 3073.217768
29 30 2285.076640
29 31 6810.010716
29 32 2661.158781
29 34 1159.716391
29 35 5014.312741
29 37 2282.987508
29 38 2981.309150
29 40 1420.514052
30 31 6273.011207
30 32 1817.846702
30 34 1604.724158
30 36 876.233239
30 38 1415.009523
30 39 1216.919727
31 32 8082.057543
31 35 2091.218336
31 36 5401.173122
31 38 4893.333526
31 39 6887.761747
32 34 1501.844619
32 36 2681.703810
32 37 772.395383
32 38 3229.944569
32 39 1561.131549
32 40 1249.961659
33 35 1564.575218
33 36 2948.885544
33 37 4744.374853
33 38 2663.749616
33 39 4124.370838
33 40 4538.966653
34 35 5291.072345
34 36 2145.997156
34 37 1196.682074
34 38 2773.488932
34 39 417.511603
34 40 271.418052
35 36 3337.265567
35 37 5245.527684
35 38 2807.647912
35 39 4905.505156
35 40 5308.207664
36 37 1909.412412
36 38 627.717362
36 40 2083.285993
37 39 1049.442485
37 40 931.504238
38 40 2708.850522
39 40 415.032654
